idxE,idxQ,img_pathE,img_pathQ,predEQ,label,embedE,embedQ
0_677_E_,0_677_Q_,../new_data/cut_style:america/0_677_E_.jpg,../new_data/cut_style:america/0_677_Q_.jpg,[0.         0.         0.         ... 0.         0.0070766  0.11201015],1,[0.         0.         0.         ... 0.         0.         0.00226101],[0.         0.         0.00961835 ... 0.         0.0070766  0.11201015]
0_656_E_,0_656_Q_,../new_data/cut_style:america/0_656_E_.jpg,../new_data/cut_style:america/0_656_Q_.jpg,[0.         0.         0.02851713 ... 0.         0.16674946 0.07208252],1,[0.         0.         0.02851713 ... 0.         0.         0.04693228],"[2.0496846e-04 0.0000000e+00 6.0267127e-01 ... 0.0000000e+00 1.6674946e-01
 7.2082520e-02]"
0_273_E_,0_273_Q_,../new_data/cut_style:america/0_273_E_.jpg,../new_data/cut_style:america/0_273_Q_.jpg,[0.         0.         0.         ... 0.         0.         0.00933069],1,[0. 0. 0. ... 0. 0. 0.],[0.13284993 0.00096266 0.42704973 ... 0.         0.         0.00933069]
13_2304_E_,13_2304_Q_,../new_data/cut_ugly_clothes_pair/13_2304_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2304_Q_.jpg,[0.01572915 0.12478253 0.07564876 ... 0.         0.07675847 0.00189302],0,[0.01572915 0.12478253 0.07564876 ... 0.         0.01948314 0.00375128],[0.04709828 0.         0.19686846 ... 0.         0.07675847 0.00189302]
1_383_E_,1_383_Q_,../new_data/cut_style:japan/1_383_E_.jpg,../new_data/cut_style:japan/1_383_Q_.jpg,[0.         0.         0.         ... 0.         0.00340086 0.02840548],1,[0.         0.         0.         ... 0.         0.         0.00598995],[0.05713155 0.         0.23384508 ... 0.         0.00340086 0.02840548]
2_139_E_,2_139_Q_,../new_data/cut_style:korea/2_139_E_.jpg,../new_data/cut_style:korea/2_139_Q_.jpg,[0.00541692 0.         0.09932985 ... 0.         0.20038378 0.04437267],1,[0.00541692 0.         0.09932985 ... 0.         0.00360837 0.04529056],[0.09053917 0.02525766 0.11844589 ... 0.         0.20038378 0.04437267]
0_470_E_,0_470_Q_,../new_data/cut_style:america/0_470_E_.jpg,../new_data/cut_style:america/0_470_Q_.jpg,[0.         0.         0.         ... 0.         0.02782658 0.01260907],1,[0.         0.         0.         ... 0.05195167 0.01382099 0.09438961],[0.1209062  0.01216651 0.2738679  ... 0.         0.02782658 0.01260907]
1_387_E_,1_387_Q_,../new_data/cut_style:japan/1_387_E_.jpg,../new_data/cut_style:japan/1_387_Q_.jpg,[0.         0.00367862 0.0419007  ... 0.         0.01429992 0.28428033],1,[0.         0.00367862 0.0419007  ... 0.00461958 0.         0.00020822],[0.4097676  0.         0.03276836 ... 0.         0.01429992 0.28428033]
13_1435_E_,13_1435_Q_,../new_data/cut_ugly_clothes_pair/13_1435_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1435_Q_.jpg,[0.         0.         0.02705856 ... 0.         0.06219551 0.04818606],0,[0.         0.         0.02705856 ... 0.         0.         0.00709327],[0.         0.0067969  0.07746448 ... 0.         0.06219551 0.04818606]
13_1117_E_,13_1117_Q_,../new_data/cut_ugly_clothes_pair/13_1117_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1117_Q_.jpg,[0.         0.         0.20004067 ... 0.         0.06981938 0.01885795],0,[0.         0.         0.20004067 ... 0.00561919 0.         0.11186963],[0.01466715 0.         0.         ... 0.         0.06981938 0.01885795]
0_80_E_,0_80_Q_,../new_data/cut_style:america/0_80_E_.jpg,../new_data/cut_style:america/0_80_Q_.jpg,[0.11844201 0.         0.18242571 ... 0.0035373  0.00795411 0.06471306],1,[0.11844201 0.         0.18242571 ... 0.         0.00794493 0.34294477],[0.13999978 0.         0.4890313  ... 0.0035373  0.00795411 0.06471306]
13_825_E_,13_825_Q_,../new_data/cut_ugly_clothes_pair/13_825_E_.jpg,../new_data/cut_ugly_clothes_pair/13_825_Q_.jpg,[0.         0.         0.01382216 ... 0.         0.09232387 0.        ],0,[0.         0.         0.01382216 ... 0.00278343 0.01179469 0.09572566],[0.         0.06412757 0.21306494 ... 0.         0.09232387 0.        ]
2_243_E_,2_243_Q_,../new_data/cut_style:korea/2_243_E_.jpg,../new_data/cut_style:korea/2_243_Q_.jpg,[0.         0.         0.03038672 ... 0.08057337 0.         0.00935398],1,[0.         0.         0.03038672 ... 0.20513137 0.         0.515685  ],[0.5811866  0.         0.36804798 ... 0.08057337 0.         0.00935398]
0_79_E_,0_79_Q_,../new_data/cut_style:america/0_79_E_.jpg,../new_data/cut_style:america/0_79_Q_.jpg,[0.         0.00746292 0.19890131 ... 0.         0.00380281 0.00612338],1,[0.         0.00746292 0.19890131 ... 0.         0.02517778 0.453033  ],[0.2146325  0.         0.12103635 ... 0.         0.00380281 0.00612338]
2_230_E_,2_230_Q_,../new_data/cut_style:korea/2_230_E_.jpg,../new_data/cut_style:korea/2_230_Q_.jpg,[0.         0.09250337 0.10074311 ... 0.         0.01200816 0.2364518 ],1,[0.         0.09250337 0.10074311 ... 0.05483162 0.28582582 0.30796543],[0.0025957  0.03610753 0.07695836 ... 0.         0.01200816 0.2364518 ]
0_96_E_,0_96_Q_,../new_data/cut_style:america/0_96_E_.jpg,../new_data/cut_style:america/0_96_Q_.jpg,[0.         0.         0.         ... 0.         0.         0.09437551],1,[0.         0.         0.         ... 0.         0.         0.12351836],[0.         0.         0.02778098 ... 0.         0.         0.09437551]
2_34_E_,2_34_Q_,../new_data/cut_style:korea/2_34_E_.jpg,../new_data/cut_style:korea/2_34_Q_.jpg,[0.05595927 0.         0.38424113 ... 0.         0.         0.03104853],1,[0.05595927 0.         0.38424113 ... 0.         0.15490873 0.1566314 ],[0.15159847 0.         0.11862842 ... 0.         0.         0.03104853]
0_560_E_,0_560_Q_,../new_data/cut_style:america/0_560_E_.jpg,../new_data/cut_style:america/0_560_Q_.jpg,[0.04197469 0.         0.16500416 ... 0.00695832 0.         0.02083377],1,[0.04197469 0.         0.16500416 ... 0.         0.00627215 0.01674102],[0.1967992  0.00117698 0.10263217 ... 0.00695832 0.         0.02083377]
1_701_E_,1_701_Q_,../new_data/cut_style:japan/1_701_E_.jpg,../new_data/cut_style:japan/1_701_Q_.jpg,[0.         0.02178099 0.0287527  ... 0.         0.05366232 0.02992674],1,[0.         0.02178099 0.0287527  ... 0.         0.01662454 0.20299484],[0.         0.         0.13128917 ... 0.         0.05366232 0.02992674]
1_157_E_,1_157_Q_,../new_data/cut_style:japan/1_157_E_.jpg,../new_data/cut_style:japan/1_157_Q_.jpg,[0.         0.         0.21346943 ... 0.         0.         0.00587574],1,[0.         0.         0.21346943 ... 0.         0.         0.20599736],[0.23065867 0.         0.21722597 ... 0.         0.         0.00587574]
13_1746_E_,13_1746_Q_,../new_data/cut_ugly_clothes_pair/13_1746_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1746_Q_.jpg,[0.5696932  0.         0.26021641 ... 0.         0.01733828 0.07545707],0,[0.5696932  0.         0.26021641 ... 0.01228948 0.00965001 0.        ],[0.22782762 0.00936301 0.06382873 ... 0.         0.01733828 0.07545707]
1_819_E_,1_819_Q_,../new_data/cut_style:japan/1_819_E_.jpg,../new_data/cut_style:japan/1_819_Q_.jpg,[0.         0.         0.06246623 ... 0.         0.         0.03186286],1,[0.         0.         0.06246623 ... 0.0229325  0.         0.07406621],[0.10105561 0.00062493 0.04845978 ... 0.         0.         0.03186286]
0_178_E_,0_178_Q_,../new_data/cut_style:america/0_178_E_.jpg,../new_data/cut_style:america/0_178_Q_.jpg,[0.29360586 0.         0.3076654  ... 0.         0.         0.00982964],1,[0.29360586 0.         0.3076654  ... 0.         0.         0.15294892],[0.00110916 0.         0.15619779 ... 0.         0.         0.00982964]
2_237_E_,2_237_Q_,../new_data/cut_style:korea/2_237_E_.jpg,../new_data/cut_style:korea/2_237_Q_.jpg,[0.01663564 0.00177398 0.0192366  ... 0.         0.04865355 0.2024314 ],1,"[1.6635640e-02 1.7739841e-03 1.9236598e-02 ... 4.1879928e-05 8.5161151e-03
 4.1757512e-01]",[0.00083219 0.         0.08258482 ... 0.         0.04865355 0.2024314 ]
2_52_E_,2_52_Q_,../new_data/cut_style:korea/2_52_E_.jpg,../new_data/cut_style:korea/2_52_Q_.jpg,[0.03304858 0.0139393  0.06746536 ... 0.         0.         0.09120671],1,[0.03304858 0.0139393  0.06746536 ... 0.00441433 0.         0.02932525],[0.0694879  0.         0.02921757 ... 0.         0.         0.09120671]
2_478_E_,2_478_Q_,../new_data/cut_style:korea/2_478_E_.jpg,../new_data/cut_style:korea/2_478_Q_.jpg,[0.         0.00813497 0.20532873 ... 0.         0.29078388 0.00200645],1,[0.         0.00813497 0.20532873 ... 0.5476676  0.06090717 0.11290864],[0.02781625 0.         0.00765528 ... 0.         0.29078388 0.00200645]
2_349_E_,2_349_Q_,../new_data/cut_style:korea/2_349_E_.jpg,../new_data/cut_style:korea/2_349_Q_.jpg,[0.02361025 0.         0.         ... 0.         0.         0.01058834],1,[0.02361025 0.         0.         ... 0.00575305 0.00710898 0.22254647],[0.0996911  0.         0.11173073 ... 0.         0.         0.01058834]
0_106_E_,0_106_Q_,../new_data/cut_style:america/0_106_E_.jpg,../new_data/cut_style:america/0_106_Q_.jpg,[0.         0.         0.         ... 0.         0.00046835 0.        ],1,[0.         0.         0.         ... 0.09015899 0.00933459 0.        ],[0.03096388 0.         0.01520528 ... 0.         0.00046835 0.        ]
2_411_E_,2_411_Q_,../new_data/cut_style:korea/2_411_E_.jpg,../new_data/cut_style:korea/2_411_Q_.jpg,[0.00010274 0.0073274  0.00872428 ... 0.         0.02278249 0.        ],1,"[1.0273755e-04 7.3273964e-03 8.7242806e-03 ... 1.6359013e-01 6.6959761e-02
 6.6071950e-02]",[0.24216914 0.         0.18394558 ... 0.         0.02278249 0.        ]
13_842_E_,13_842_Q_,../new_data/cut_ugly_clothes_pair/13_842_E_.jpg,../new_data/cut_ugly_clothes_pair/13_842_Q_.jpg,[0.         0.00263061 0.00851694 ... 0.         0.04029092 0.01280424],0,[0.         0.00263061 0.00851694 ... 0.         0.00504178 0.        ],[0.24048932 0.         0.04856612 ... 0.         0.04029092 0.01280424]
0_827_E_,0_827_Q_,../new_data/cut_style:america/0_827_E_.jpg,../new_data/cut_style:america/0_827_Q_.jpg,[0.         0.         0.07721783 ... 0.         0.07816393 0.4251826 ],1,[0.         0.         0.07721783 ... 0.02552939 0.09105472 0.21388586],[0.00882191 0.         0.01039858 ... 0.         0.07816393 0.4251826 ]
2_419_E_,2_419_Q_,../new_data/cut_style:korea/2_419_E_.jpg,../new_data/cut_style:korea/2_419_Q_.jpg,[0.         0.00042285 0.01108655 ... 0.05645399 0.00243163 0.14342636],1,[0.         0.00042285 0.01108655 ... 0.04887168 0.03349027 0.0334016 ],[0.05966546 0.         0.17219369 ... 0.05645399 0.00243163 0.14342636]
13_1681_E_,13_1681_Q_,../new_data/cut_ugly_clothes_pair/13_1681_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1681_Q_.jpg,[0.00778334 0.         0.06939947 ... 0.02943469 0.         0.02802462],0,[0.00778334 0.         0.06939947 ... 0.00247344 0.         0.07554227],[0.         0.         0.14082794 ... 0.02943469 0.         0.02802462]
2_131_E_,2_131_Q_,../new_data/cut_style:korea/2_131_E_.jpg,../new_data/cut_style:korea/2_131_Q_.jpg,[0.02095792 0.         0.36726007 ... 0.         0.         0.04451745],1,[0.02095792 0.         0.36726007 ... 0.02854299 0.13924098 0.14354643],[0.23078912 0.         0.06694771 ... 0.         0.         0.04451745]
13_2223_E_,13_2223_Q_,../new_data/cut_ugly_clothes_pair/13_2223_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2223_Q_.jpg,[0.         0.03017168 0.21464558 ... 0.         0.01280071 0.01292214],0,[0.         0.03017168 0.21464558 ... 0.         0.         0.3413684 ],[0.03283885 0.00833817 0.21768893 ... 0.         0.01280071 0.01292214]
0_391_E_,0_391_Q_,../new_data/cut_style:america/0_391_E_.jpg,../new_data/cut_style:america/0_391_Q_.jpg,[0.         0.         0.01333371 ... 0.         0.0280367  0.01043056],1,[0.         0.         0.01333371 ... 0.         0.00404088 0.20331442],[0.         0.         0.35789707 ... 0.         0.0280367  0.01043056]
0_390_E_,0_390_Q_,../new_data/cut_style:america/0_390_E_.jpg,../new_data/cut_style:america/0_390_Q_.jpg,[0.         0.03107452 0.0636116  ... 0.         0.29804054 0.31235847],1,[0.         0.03107452 0.0636116  ... 0.01495295 0.         0.13663854],[0.03276127 0.         0.4882827  ... 0.         0.29804054 0.31235847]
0_437_E_,0_437_Q_,../new_data/cut_style:america/0_437_E_.jpg,../new_data/cut_style:america/0_437_Q_.jpg,[0.00655444 0.         0.01196981 ... 0.         0.06001422 0.1082063 ],1,[0.00655444 0.         0.01196981 ... 0.0043776  0.         0.16346754],[0.11923067 0.         0.0335376  ... 0.         0.06001422 0.1082063 ]
1_579_E_,1_579_Q_,../new_data/cut_style:japan/1_579_E_.jpg,../new_data/cut_style:japan/1_579_Q_.jpg,[0.         0.         0.399417   ... 0.01074918 0.008435   0.09918889],1,[0.         0.         0.399417   ... 0.0204064  0.         0.00325221],[0.05029466 0.         0.2600682  ... 0.01074918 0.008435   0.09918889]
1_596_E_,1_596_Q_,../new_data/cut_style:japan/1_596_E_.jpg,../new_data/cut_style:japan/1_596_Q_.jpg,[0.00125453 0.         0.16204742 ... 0.02715133 0.02575298 0.01428569],1,[0.00125453 0.         0.16204742 ... 0.         0.03112506 0.195427  ],[0.38450265 0.         0.8821124  ... 0.02715133 0.02575298 0.01428569]
13_526_E_,13_526_Q_,../new_data/cut_ugly_clothes_pair/13_526_E_.jpg,../new_data/cut_ugly_clothes_pair/13_526_Q_.jpg,[0.         0.00214172 0.06566139 ... 0.         0.00433908 0.04012241],0,[0.         0.00214172 0.06566139 ... 0.         0.29917485 0.04844078],[0.         0.         0.211245   ... 0.         0.00433908 0.04012241]
0_362_E_,0_362_Q_,../new_data/cut_style:america/0_362_E_.jpg,../new_data/cut_style:america/0_362_Q_.jpg,[0.02566332 0.         0.2722243  ... 0.         0.2663424  0.        ],1,[0.02566332 0.         0.2722243  ... 0.         0.03107262 0.31052715],[0.         0.01076203 0.10686621 ... 0.         0.2663424  0.        ]
2_470_E_,2_470_Q_,../new_data/cut_style:korea/2_470_E_.jpg,../new_data/cut_style:korea/2_470_Q_.jpg,[0.0691145  0.         0.00308606 ... 0.00359849 0.         0.01262278],1,[0.0691145  0.         0.00308606 ... 0.06274086 0.04895616 0.00481327],[0.01603177 0.         0.16125561 ... 0.00359849 0.         0.01262278]
13_2217_E_,13_2217_Q_,../new_data/cut_ugly_clothes_pair/13_2217_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2217_Q_.jpg,[0.         0.         0.29057208 ... 0.03101826 0.01552096 0.        ],0,[0.         0.         0.29057208 ... 0.         0.         0.1963091 ],[0.01522321 0.         0.64252704 ... 0.03101826 0.01552096 0.        ]
13_2353_E_,13_2353_Q_,../new_data/cut_ugly_clothes_pair/13_2353_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2353_Q_.jpg,[0.00084185 0.3629237  0.1254289  ... 0.         0.         0.10303579],0,[0.00084185 0.3629237  0.1254289  ... 0.         0.13184907 0.37626043],[0.20483212 0.00824052 0.02709434 ... 0.         0.         0.10303579]
2_759_E_,2_759_Q_,../new_data/cut_style:korea/2_759_E_.jpg,../new_data/cut_style:korea/2_759_Q_.jpg,[0.         0.         0.18983172 ... 0.0007054  0.         0.00279077],1,[0.         0.         0.18983172 ... 0.20222926 0.         0.        ],[0.01374461 0.         0.08797586 ... 0.0007054  0.         0.00279077]
2_378_E_,2_378_Q_,../new_data/cut_style:korea/2_378_E_.jpg,../new_data/cut_style:korea/2_378_Q_.jpg,[0.         0.         0.23051779 ... 0.         0.         0.05815032],1,[0.         0.         0.23051779 ... 0.         0.03969607 0.43587014],[0.         0.         0.17997442 ... 0.         0.         0.05815032]
13_920_E_,13_920_Q_,../new_data/cut_ugly_clothes_pair/13_920_E_.jpg,../new_data/cut_ugly_clothes_pair/13_920_Q_.jpg,[0.04275467 0.         0.01980683 ... 0.         0.07410309 0.        ],0,[0.04275467 0.         0.01980683 ... 0.         0.         0.00282386],[0.         0.         0.30468702 ... 0.         0.07410309 0.        ]
2_111_E_,2_111_Q_,../new_data/cut_style:korea/2_111_E_.jpg,../new_data/cut_style:korea/2_111_Q_.jpg,[0.00408252 0.0014117  0.         ... 0.         0.00027874 0.01447404],1,[0.00408252 0.0014117  0.         ... 0.         0.         0.0890954 ],[0.08549704 0.         0.13313544 ... 0.         0.00027874 0.01447404]
0_402_E_,0_402_Q_,../new_data/cut_style:america/0_402_E_.jpg,../new_data/cut_style:america/0_402_Q_.jpg,[0.         0.00500793 0.18341501 ... 0.         0.04658247 0.        ],1,[0.         0.00500793 0.18341501 ... 0.09369421 0.04973771 0.6788995 ],[0.04071396 0.00407924 0.03407303 ... 0.         0.04658247 0.        ]
13_2055_E_,13_2055_Q_,../new_data/cut_ugly_clothes_pair/13_2055_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2055_Q_.jpg,[0.13603085 0.00170327 0.14015344 ... 0.         0.00740493 0.00904563],0,[0.13603085 0.00170327 0.14015344 ... 0.00568046 0.02666337 0.00521153],[0.07108492 0.         0.         ... 0.         0.00740493 0.00904563]
13_474_E_,13_474_Q_,../new_data/cut_ugly_clothes_pair/13_474_E_.jpg,../new_data/cut_ugly_clothes_pair/13_474_Q_.jpg,[0.         0.030568   0.19632599 ... 0.02721773 0.00074547 0.03194186],0,[0.         0.030568   0.19632599 ... 0.         0.         0.0477969 ],[0.         0.07684816 0.30623904 ... 0.02721773 0.00074547 0.03194186]
0_325_E_,0_325_Q_,../new_data/cut_style:america/0_325_E_.jpg,../new_data/cut_style:america/0_325_Q_.jpg,[0.13613394 0.01037507 0.02889902 ... 0.         0.0004671  0.12671246],1,[0.13613394 0.01037507 0.02889902 ... 0.         0.07948104 0.3397212 ],[0.         0.         0.10145082 ... 0.         0.0004671  0.12671246]
13_1606_E_,13_1606_Q_,../new_data/cut_ugly_clothes_pair/13_1606_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1606_Q_.jpg,[0.06748957 0.00626478 0.0806737  ... 0.00789166 0.         0.        ],0,[0.06748957 0.00626478 0.0806737  ... 0.         0.         0.03616186],[1.0595137  0.         0.01948446 ... 0.00789166 0.         0.        ]
0_410_E_,0_410_Q_,../new_data/cut_style:america/0_410_E_.jpg,../new_data/cut_style:america/0_410_Q_.jpg,[0.         0.00087473 0.02169537 ... 0.         0.13614513 0.13501808],1,[0.         0.00087473 0.02169537 ... 0.         0.04942284 0.02341001],[0.18408534 0.         0.10209416 ... 0.         0.13614513 0.13501808]
1_156_E_,1_156_Q_,../new_data/cut_style:japan/1_156_E_.jpg,../new_data/cut_style:japan/1_156_Q_.jpg,[0.         0.         0.05653451 ... 0.         0.0102326  0.        ],1,[0.         0.         0.05653451 ... 0.03337619 0.         0.14646731],[0.05468994 0.         0.02875264 ... 0.         0.0102326  0.        ]
2_9_E_,2_9_Q_,../new_data/cut_style:korea/2_9_E_.jpg,../new_data/cut_style:korea/2_9_Q_.jpg,[0.02665564 0.24494438 0.37568012 ... 0.         0.01731757 0.00101943],1,[0.02665564 0.24494438 0.37568012 ... 0.00830865 0.1973351  0.85550165],[0.02180823 0.         0.23163256 ... 0.         0.01731757 0.00101943]
13_1422_E_,13_1422_Q_,../new_data/cut_ugly_clothes_pair/13_1422_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1422_Q_.jpg,[0.07903264 0.11282185 0.08761582 ... 0.         0.         0.0314321 ],0,[0.07903264 0.11282185 0.08761582 ... 0.00767384 0.         0.1226267 ],[0.80424297 0.         0.20445886 ... 0.         0.         0.0314321 ]
2_519_E_,2_519_Q_,../new_data/cut_style:korea/2_519_E_.jpg,../new_data/cut_style:korea/2_519_Q_.jpg,[0.00209978 0.         0.0763906  ... 0.02311445 0.         0.0061809 ],1,[0.00209978 0.         0.0763906  ... 0.00508672 0.         0.02511569],[0.11944187 0.         0.21214402 ... 0.02311445 0.         0.0061809 ]
2_738_E_,2_738_Q_,../new_data/cut_style:korea/2_738_E_.jpg,../new_data/cut_style:korea/2_738_Q_.jpg,[0.         0.09900499 0.26798776 ... 0.         0.         0.00543461],1,[0.         0.09900499 0.26798776 ... 0.01839483 0.         0.83338416],[0.         0.         0.02621012 ... 0.         0.         0.00543461]
2_328_E_,2_328_Q_,../new_data/cut_style:korea/2_328_E_.jpg,../new_data/cut_style:korea/2_328_Q_.jpg,[0.08125469 0.         0.01689417 ... 0.         0.00691657 0.6739192 ],1,[0.08125469 0.         0.01689417 ... 0.08062975 0.01173528 0.00863664],[0.05220015 0.         0.02746215 ... 0.         0.00691657 0.6739192 ]
2_372_E_,2_372_Q_,../new_data/cut_style:korea/2_372_E_.jpg,../new_data/cut_style:korea/2_372_Q_.jpg,[0.         0.         0.04312827 ... 0.0159399  0.         0.02192198],1,[0.         0.         0.04312827 ... 0.         0.19407138 0.22822203],[0.8241046  0.         0.34956992 ... 0.0159399  0.         0.02192198]
13_2234_E_,13_2234_Q_,../new_data/cut_ugly_clothes_pair/13_2234_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2234_Q_.jpg,[0.         0.08767344 0.         ... 0.         0.12058256 0.06747358],0,[0.         0.08767344 0.         ... 0.         0.         0.39785275],[0.06276628 0.00017432 0.         ... 0.         0.12058256 0.06747358]
0_113_E_,0_113_Q_,../new_data/cut_style:america/0_113_E_.jpg,../new_data/cut_style:america/0_113_Q_.jpg,[0.         0.         0.28707358 ... 0.         0.         0.        ],1,[0.         0.         0.28707358 ... 0.         0.         0.        ],[0.01558101 0.         0.03038927 ... 0.         0.         0.        ]
1_807_E_,1_807_Q_,../new_data/cut_style:japan/1_807_E_.jpg,../new_data/cut_style:japan/1_807_Q_.jpg,[0.         0.0067631  0.         ... 0.00921635 0.00919356 0.01524061],1,[0.         0.0067631  0.         ... 0.         0.05619802 0.12488358],[0.21466559 0.         0.59460384 ... 0.00921635 0.00919356 0.01524061]
1_401_E_,1_401_Q_,../new_data/cut_style:japan/1_401_E_.jpg,../new_data/cut_style:japan/1_401_Q_.jpg,[0.         0.         0.06404656 ... 0.00145624 0.00027172 0.00107939],1,[0.         0.         0.06404656 ... 0.04941011 0.         0.00363279],[0.03099    0.         0.         ... 0.00145624 0.00027172 0.00107939]
1_158_E_,1_158_Q_,../new_data/cut_style:japan/1_158_E_.jpg,../new_data/cut_style:japan/1_158_Q_.jpg,[0.         0.         0.         ... 0.         0.         0.07349883],1,[0.         0.         0.         ... 0.0931016  0.05719771 0.20796743],[0.24863996 0.         0.19311163 ... 0.         0.         0.07349883]
0_223_E_,0_223_Q_,../new_data/cut_style:america/0_223_E_.jpg,../new_data/cut_style:america/0_223_Q_.jpg,[0.         0.01060818 0.3403348  ... 0.         0.09815012 0.02079297],1,[0.         0.01060818 0.3403348  ... 0.         0.29445052 0.6351223 ],[0.         0.         0.03383086 ... 0.         0.09815012 0.02079297]
0_305_E_,0_305_Q_,../new_data/cut_style:america/0_305_E_.jpg,../new_data/cut_style:america/0_305_Q_.jpg,[0.04300088 0.         0.15428934 ... 0.03472398 0.         0.02837954],1,[0.04300088 0.         0.15428934 ... 0.         0.02479695 0.46364573],[0.15759829 0.         0.07438459 ... 0.03472398 0.         0.02837954]
0_653_E_,0_653_Q_,../new_data/cut_style:america/0_653_E_.jpg,../new_data/cut_style:america/0_653_Q_.jpg,[0.         0.         0.04088262 ... 0.09324805 0.         0.01130569],1,[0.         0.         0.04088262 ... 0.         0.0708348  0.16387971],[0.02403016 0.         0.         ... 0.09324805 0.         0.01130569]
0_73_E_,0_73_Q_,../new_data/cut_style:america/0_73_E_.jpg,../new_data/cut_style:america/0_73_Q_.jpg,[0.06422023 0.02083844 0.10806172 ... 0.         0.00825838 0.23960015],1,[0.06422023 0.02083844 0.10806172 ... 0.00126646 0.         0.05385664],[0.08314297 0.         0.28949204 ... 0.         0.00825838 0.23960015]
13_1852_E_,13_1852_Q_,../new_data/cut_ugly_clothes_pair/13_1852_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1852_Q_.jpg,[0.         0.03145617 0.03635921 ... 0.00773673 0.         0.06367957],0,[0.         0.03145617 0.03635921 ... 0.         0.         0.03601297],[0.         0.04289271 0.         ... 0.00773673 0.         0.06367957]
0_624_E_,0_624_Q_,../new_data/cut_style:america/0_624_E_.jpg,../new_data/cut_style:america/0_624_Q_.jpg,[0.02357233 0.00090563 0.         ... 0.00392954 0.         0.01743194],1,[0.02357233 0.00090563 0.         ... 0.         0.         0.01254809],[0.20152211 0.         0.         ... 0.00392954 0.         0.01743194]
0_630_E_,0_630_Q_,../new_data/cut_style:america/0_630_E_.jpg,../new_data/cut_style:america/0_630_Q_.jpg,[0.         0.         0.         ... 0.         0.06144797 0.00149425],1,[0.         0.         0.         ... 0.         0.00526845 0.05692064],[0.1873435  0.00538005 0.07082561 ... 0.         0.06144797 0.00149425]
2_365_E_,2_365_Q_,../new_data/cut_style:korea/2_365_E_.jpg,../new_data/cut_style:korea/2_365_Q_.jpg,[0.23383729 0.01473907 0.01484714 ... 0.         0.         0.        ],1,[0.23383729 0.01473907 0.01484714 ... 0.00379914 0.         0.13478442],[0.15360464 0.         0.72328216 ... 0.         0.         0.        ]
1_457_E_,1_457_Q_,../new_data/cut_style:japan/1_457_E_.jpg,../new_data/cut_style:japan/1_457_Q_.jpg,[0.         0.         0.1223679  ... 0.         0.06887658 0.144174  ],1,[0.         0.         0.1223679  ... 0.         0.00190346 0.00700404],[0.29649293 0.         0.18548505 ... 0.         0.06887658 0.144174  ]
13_1862_E_,13_1862_Q_,../new_data/cut_ugly_clothes_pair/13_1862_E_.jpg,../new_data/cut_ugly_clothes_pair/13_1862_Q_.jpg,[0.02892281 0.02848772 0.0319925  ... 0.         0.05027043 0.02557381],0,[0.02892281 0.02848772 0.0319925  ... 0.02372429 0.         0.02485866],[0.         0.         0.00829408 ... 0.         0.05027043 0.02557381]
13_277_E_,13_277_Q_,../new_data/cut_ugly_clothes_pair/13_277_E_.jpg,../new_data/cut_ugly_clothes_pair/13_277_Q_.jpg,"[0.0000000e+00 3.9308722e-04 1.6598124e-02 ... 2.5906935e-03 5.1834977e-01
 3.1247810e-01]",0,"[0.0000000e+00 3.9308722e-04 1.6598124e-02 ... 1.4069489e-02 7.1980762e-01
 4.6161830e-01]",[0.01326435 0.         0.05404912 ... 0.00259069 0.51834977 0.3124781 ]
1_344_E_,1_344_Q_,../new_data/cut_style:japan/1_344_E_.jpg,../new_data/cut_style:japan/1_344_Q_.jpg,[0.         0.00560599 0.36343473 ... 0.         0.         0.00573451],1,[0.         0.00560599 0.36343473 ... 0.         0.02926593 0.02575553],[0.30429175 0.         0.1035606  ... 0.         0.         0.00573451]
0_234_E_,0_234_Q_,../new_data/cut_style:america/0_234_E_.jpg,../new_data/cut_style:america/0_234_Q_.jpg,[0.01241684 0.         0.11684909 ... 0.         0.         0.05364119],1,[0.01241684 0.         0.11684909 ... 0.02147944 0.00860642 0.08021182],[0.04941559 0.         0.00437278 ... 0.         0.         0.05364119]
13_2231_E_,13_2231_Q_,../new_data/cut_ugly_clothes_pair/13_2231_E_.jpg,../new_data/cut_ugly_clothes_pair/13_2231_Q_.jpg,[0.         0.13040945 0.03522841 ... 0.07906549 0.         0.        ],0,[0.         0.13040945 0.03522841 ... 0.         0.         0.19459973],[0.03438823 0.         0.18909048 ... 0.07906549 0.         0.        ]
